,0,1,2,3,4,5
0,商品货号,商品名称与描述,数量,商品单价,税率,金额
1,005.464.68,UPPDATERA 乌普道拉 盒子 24x17 白色 AP,6,14.99,13 %,¥ 89.94
2,005.703.35,KORVTRÄD 科夫特莱 挂钟 28 多色 LVM AP,1,49.99,13 %,¥ 49.99
3,105.371.71,ÅKERBÄR 阿克巴 塑料制温室罩 45 室内/户外/白色 AP,1,129.00,13 %,¥ 129.00
4,904.657.35,NISSAFORS 耐斯弗思 手推车 50.5x30x83 白色 AP,1,149.00,13 %,¥ 149.00
5,601.864.01,勒伯格 搁板柜 60x148 深灰色 AP CN,2,99.99,13 %,¥ 199.98
6,105.598.27,BRUKSVARA 布瓦拉 4盒储物单元 40x104 褐色/深灰色 AP,1,349.00,13 %,¥ 349.00
7,005.582.15,BRUKSVARA 布瓦拉 晒衣架 78x147 蓝色 AP,1,99.99,13 %,¥ 99.99
8,302.316.31,RIGGA丽加 晒衣架 白色 AP CN,1,129.00,13 %,¥ 129.00
9,605.578.02,BOLLSIDAN 波席当 笔电支架 68x36 白色 AP,1,399.00,13 %,¥ 399.00
10,302.755.59,OXBERG 奥克伯 面板/玻璃门 40x192 白色 AP CN,2,150.00,13 %,¥ 300.00
11,505.516.45,KALBÅDEN 卡保登 柜门 60x180 生动的松木纹 AP,3,220.00,13 %,¥ 660.00
12,605.806.52,GULLABERG 古拉贝利 柜门 50x229 白色 AP,1,400.00,13 %,¥ 400.00
13,705.316.56,哈伯格 扶手转椅哥兰/邦斯金棕色,1,"2,499.00",13 %,"¥ 2,499.00"
14,500.008.75,到店自提,1,0.00,13 %,¥ 0.00
