,0,1,2,3,4,5
0,商品货号,商品名称与描述,数量,商品单价,税率,金额
1,205.864.01,UTVISNING 乌特维斯 带搁板电竞桌 120x60 黑色 AP,1,699.00,13 %,¥ 699.00
2,905.863.27,LÖPARBANA 罗帕巴纳 电竞椅 VISSLE 威索尔 深灰色 AP,1,799.00,13 %,¥ 799.00
3,905.252.73,BILLY 毕利 N4 搁板 76x26 白色 AP,1,50.00,13 %,¥ 50.00
4,705.220.44,BILLY 毕利 N4 书架 80x28x106 白色 AP,1,299.00,13 %,¥ 299.00
5,704.098.87,BRIMNES 百灵 玻璃门柜 80x190 黑色 AP,1,999.00,13 %,¥ 999.00
6,500.008.75,到店自提,1,0.00,13 %,¥ 0.00
