,0,1,2,3,4,5
0,商品货号,商品名称与描述,数量,商品单价,税率,金额
1,304.977.20,AVSTEG 奥夫斯泰 厨房台面架 54x36 白色 AP,1,129.00,13 %,¥ 129.00
2,403.017.08,FRAKTA弗拉塔N搬运袋中45x18x45厘米36L蓝APCN,1,5.00,13 %,¥ 5.00
3,602.992.19,FRAKTA弗拉塔N编织袋大55x37x35厘米71L蓝AP,2,5.00,13 %,¥ 10.00
4,302.287.56,穆利格 晾衣架，室内/户外 白色 AP CN,1,149.00,13 %,¥ 149.00
5,804.155.95,EKRAR 耶卡拉尔 衣帽架 169 白色 AP,1,149.00,13 %,¥ 149.00
6,302.316.31,RIGGA丽加 晒衣架 白色 AP CN,2,129.00,13 %,¥ 258.00
7,904.657.35,NISSAFORS 耐斯弗思 手推车 50.5x30x83 白色 AP,1,149.00,13 %,¥ 149.00
8,903.032.91,苏纳思 独立橱柜 112x56x139 AP CN,1,699.00,13 %,¥ 699.00
9,802.869.18,VARDAGEN 瓦达恩 杯子 31 厘升 透明玻璃 6件 AP JP,1,39.99,13 %,¥ 39.99
10,005.703.35,KORVTRÄD 科夫特莱 挂钟 28 多色 LVM AP,1,49.99,13 %,¥ 49.99
11,604.073.65,NISSAFORS 耐斯弗思 手推车 50.5x30x83 黑色 AP,4,149.00,13 %,¥ 596.00
12,302.316.31,RIGGA丽加 晒衣架 白色 AP CN,1,129.00,13 %,¥ 129.00
13,801.794.33,MULIG 穆利格 晒衣架 99x152 白色 AP CN,1,69.99,13 %,¥ 69.99
14,002.799.45,ANTILOP 安迪洛 高椅腿 4件 AP CN,2,29.99,13 %,¥ 59.98
15,201.690.74,ANTILOP安迪洛 高脚椅用桌板 白色 AP JP,2,20.00,13 %,¥ 40.00
16,302.799.44,ANTILOP安迪洛 高脚椅椅壳 白色 AP JP,2,50.00,13 %,¥ 100.00
17,301.693.42,古西格 格登 毛绒玩具 70 狗/金毛寻回犬 AP CN,1,99.99,13 %,¥ 99.99
18,103.953.84,PÄRKLA 派克拉 储物袋 55x49x19 AP,2,9.99,13 %,¥ 19.98
19,104.745.93,BULLIG 布丽格 盒 32x35x33 竹/褐色 AP,1,129.00,13 %,¥ 129.00
20,405.270.95,PEPPRIG 佩普里格 地板清洁刮 AP,1,19.99,13 %,¥ 19.99
