,0,1,2,3,4,5
0,商品货号,商品名称与描述,数量,商品单价,税率,金额
1,903.874.84,PLATSA普拉萨 框架 80x40x60 白色 AP,1,250.00,13 %,¥ 250.00
2,403.875.75,HJÄLPA 耶勒帕 标准合叶 1件 AP,4,10.00,13 %,¥ 40.00
3,403.875.75,HJÄLPA 耶勒帕 标准合叶 1件 AP,2,10.00,13 %,¥ 20.00
4,903.874.84,PLATSA普拉萨 框架 80x40x60 白色 AP,1,250.00,13 %,¥ 250.00
5,403.875.75,HJÄLPA 耶勒帕 标准合叶 1件 AP,4,10.00,13 %,¥ 40.00
6,403.875.75,HJÄLPA 耶勒帕 标准合叶 1件 AP,4,10.00,13 %,¥ 40.00
7,703.955.50,桑尼达尔 柜门 40x180 白色 AP,2,140.00,13 %,¥ 280.00
8,403.875.75,HJÄLPA 耶勒帕 标准合叶 1件 AP,6,10.00,13 %,¥ 60.00
9,500.008.75,到店自提,1,0.00,13 %,¥ 0.00
